stamp, x, y, theta
1.67789e+09,52.5893, -3.38651, 3.10877
 1.67789e+09,52.3799, -3.38238, 3.06023
 1.67789e+09,51.8649, -3.3514, 3.03578
 1.67789e+09,51.4234, -3.29934, 3.03738
 1.67789e+09,50.6521, -3.18797, 3.05572
 1.67789e+09,50.1244, -3.22048, 3.06128
 1.67789e+09,48.9416, -3.06022, 3.07775
 1.67789e+09,48.4375, -3.12762, 3.10027
 1.67789e+09,47.9279, -3.13399, 0.00330644
 1.67789e+09,47.3482, -3.09684, 3.10211
 1.67789e+09,46.7704, -3.00863, 3.03813
 1.67789e+09,46.3142, -2.92502, 2.98836
 1.67789e+09,45.8882, -2.85837, 3.02406
 1.67789e+09,45.3097, -2.82219, 3.06606
 1.67789e+09,44.745, -2.77144, 3.02974
 1.67789e+09,44.2118, -2.72303, 3.01608
 1.67789e+09,43.7011, -2.69548, 3.04373
 1.67789e+09,43.2511, -2.67084, 3.02073
 1.67789e+09,42.7658, -2.63723, 2.997
 1.67789e+09,42.327, -2.55362, 2.94684
 1.67789e+09,41.8773, -2.39982, 2.82308
 1.67789e+09,41.4355, -1.96231, 2.46174
 1.67789e+09,40.9994, -1.46591, 2.21579
 1.67789e+09,40.7315, -0.964203, 2.05711
 1.67789e+09,40.6274, -0.489791, 1.92616
 1.67789e+09,40.5776, 0.00143885, 1.79823
 1.67789e+09,40.5606, 0.483231, 1.69025
 1.67789e+09,40.5835, 1.00697, 1.65167
 1.67789e+09,40.5958, 1.51855, 1.65921
 1.67789e+09,40.6021, 2.01987, 1.68374
 1.67789e+09,40.5908, 2.50242, 1.70454
 1.67789e+09,40.5617, 2.98445, 1.72563
 1.67789e+09,40.5235, 3.47444, 1.73712
 1.67789e+09,40.4732, 3.90855, 1.73251
 1.67789e+09,40.4337, 4.37632, 1.63417
 1.67789e+09,40.4275, 4.85709, 1.53763
 1.67789e+09,40.4876, 5.3047, 1.44128
 1.67789e+09,40.6453, 5.79752, 1.26949
 1.67789e+09,40.8605, 6.37065, 1.05843
 1.67789e+09,41.1861, 6.83466, 0.919986
 1.67789e+09,41.7141, 7.35566, 0.766736
 1.67789e+09,42.3458, 7.66873, 0.518818
 1.67789e+09,42.8376, 7.793, 0.380545
 1.67789e+09,43.3106, 7.85924, 0.263356
 1.67789e+09,43.7941, 7.91778, 0.245307
 1.67789e+09,44.2893, 7.96146, 0.247466
 1.67789e+09,44.8303, 7.97401, 0.216835
 1.67789e+09,45.3645, 7.96661, 0.185122
 1.67789e+09,45.9214, 7.95415, 0.0943272
 1.67789e+09,46.4026, 7.94832, 0.0993806
 1.67789e+09,46.8725, 7.9385, 0.029679
 1.67789e+09,47.3642, 7.92761, 0.0480538
 1.67789e+09,47.8562, 7.92448, 0.0308485
 1.67789e+09,48.3715, 7.87095, 3.11945
 1.67789e+09,48.8936, 7.80561, 3.05484
 1.67789e+09,49.4045, 7.73374, 3.03076
 1.67789e+09,49.8846, 7.67164, 3.05244
 1.67789e+09,50.3632, 7.65313, 3.02642
 1.67789e+09,50.8623, 7.61081, 3.00463
 1.67789e+09,51.331, 7.56256, 2.9628
 1.67789e+09,51.7982, 7.48371, 2.91772
 1.67789e+09,52.3136, 7.33471, 2.86602
 1.67789e+09,52.8936, 6.95761, 2.60301
 1.67789e+09,53.3017, 6.41832, 2.24923
 1.67789e+09,53.4917, 5.9025, 1.97597
 1.67789e+09,53.576, 5.43541, 1.92656
 1.67789e+09,53.6296, 4.97279, 1.86418
 1.67789e+09,53.6629, 4.49162, 1.77702
 1.67789e+09,53.6408, 3.9583, 1.64999
 1.67789e+09,53.5697, 3.46603, 1.56093
 1.67789e+09,53.5087, 2.98254, 1.55761
 1.67789e+09,53.4566, 2.48524, 1.53891
 1.67789e+09,53.4343, 2.00887, 1.55561
 1.67789e+09,53.4334, 1.52721, 1.60987
 1.67789e+09,53.4132, 1.06694, 1.61957
 1.67789e+09,53.4016, 0.595744, 1.58664
 1.67789e+09,53.3705, 0.137094, 1.55499
 1.67789e+09,53.3373, -0.36179, 1.50479
 1.67789e+09,53.2764, -0.793866, 1.40335
 1.67789e+09,53.2109, -1.28605, 1.3116
 1.67789e+09,53.0607, -1.77097, 1.18677
 1.67789e+09,52.7484, -2.34014, 1.04819
 1.67789e+09,52.2815, -2.79751, 0.754843
 1.67789e+09,51.6835, -3.05319, 0.51061
 1.67789e+09,51.1406, -3.15871, 0.266398
 1.67789e+09,50.6646, -3.1695, 0.106508
 1.67789e+09,50.2006, -3.14313, 0.0241573
 1.67789e+09,49.7297, -3.09433, 3.10941
 1.67789e+09,49.2399, -3.05461, 3.06321
 1.67789e+09,48.7359, -3.03232, 3.0743
 1.67789e+09,48.2511, -3.0203, 3.08871
 1.67789e+09,47.7487, -3.02919, 3.0552
 1.67789e+09,47.2238, -3.02709, 3.05364
 1.67789e+09,46.6893, -2.97292, 2.97797
 1.67789e+09,46.1835, -2.91208, 2.93707
 1.67789e+09,45.6663, -2.89538, 2.98725
 1.67789e+09,45.1344, -2.85743, 2.98837
 1.67789e+09,44.6325, -2.8503, 3.00822
 1.67789e+09,44.1023, -2.87175, 3.11052
 1.67789e+09,43.559, -2.90283, 0.0376731
 1.67789e+09,43.0457, -2.91711, 0.0833546
 1.67789e+09,42.5226, -2.91171, 0.0522636
 1.67789e+09,42.0539, -2.87745, 3.13089
 1.67789e+09,41.5377, -2.87456, 0.0371585
 1.67789e+09,41.0006, -2.92246, 0.0466413
 1.67789e+09,40.5094, -2.89337, 0.0355924
 1.67789e+09,39.9998, -2.88147, 0.0379132
 1.67789e+09,39.4639, -2.8571, 0.0407414
 1.67789e+09,38.9585, -2.82363, 0.0443588
 1.67789e+09,38.4188, -2.78404, 3.11026
 1.67789e+09,37.8837, -2.71952, 3.10662
 1.67789e+09,37.3477, -2.66188, 3.11581
 1.67789e+09,36.8348, -2.63968, 3.11485
 1.67789e+09,36.3102, -2.59834, 3.09356
 1.67789e+09,35.8252, -2.58959, 3.07863
 1.67789e+09,35.3538, -2.64778, 3.02909
 1.67789e+09,34.8422, -2.41496, 3.06228
 1.67789e+09,34.3578, -2.47122, 3.08136
 1.67789e+09,33.884, -2.48087, 3.12332
 1.67789e+09,33.3346, -2.4973, 3.12872
 1.67789e+09,32.7678, -2.47495, 3.11682
 1.67789e+09,32.1678, -2.39942, 3.10969
 1.67789e+09,31.7131, -2.35515, 3.10255
 1.67789e+09,31.0927, -2.33178, 3.12393
 1.67789e+09,30.5824, -2.32243, 3.13087
 1.67789e+09,30.0748, -2.34584, 3.07704
 1.67789e+09,29.4579, -2.16638, 3.10111
 1.67789e+09,28.9883, -2.19376, 3.11368
 1.67789e+09,28.4828, -2.15368, 3.11087
 1.67789e+09,27.9835, -2.09697, 3.07813
 1.67789e+09,27.487, -2.04664, 3.08325
 1.67789e+09,26.9761, -2.02718, 3.11307
 1.67789e+09,26.4457, -1.98392, 3.11317
 1.67789e+09,25.9235, -1.94481, 3.09347
 1.67789e+09,25.4201, -1.88888, 3.09907
 1.67789e+09,24.9034, -1.846, 0.00419825
 1.67789e+09,24.3758, -1.81785, 3.13982
 1.67789e+09,23.8812, -1.76882, 3.07274
 1.67789e+09,23.3587, -1.71521, 3.05201
 1.67789e+09,22.8332, -1.65677, 3.03293
 1.67789e+09,22.3183, -1.57551, 3.03892
 1.67789e+09,21.8073, -1.51107, 3.04536
 1.67789e+09,21.307, -1.49045, 3.06873
