stamp, x, y, theta
1.67789e+09,52.5893, -3.38651, 3.10877
 1.67789e+09,52.3196, -3.39201, 3.06545
 1.67789e+09,51.8176, -3.38054, 3.03032
 1.67789e+09,51.3732, -3.34394, 3.04951
 1.67789e+09,50.9143, -3.286, 3.04954
 1.67789e+09,50.445, -3.26993, 3.0561
 1.67789e+09,49.923, -3.25277, 3.05728
 1.67789e+09,49.3877, -3.23227, 3.04251
 1.67789e+09,48.8756, -3.20484, 3.0256
 1.67789e+09,48.4843, -3.19127, 3.05222
 1.67789e+09,48.0374, -3.18325, 3.08716
 1.67789e+09,47.6115, -3.15504, 3.06509
 1.67789e+09,47.1601, -3.11041, 3.03634
 1.67789e+09,46.6347, -3.05403, 2.9784
 1.67789e+09,46.112, -2.97442, 2.94382
 1.67789e+09,45.6162, -2.93101, 3.00679
 1.67789e+09,45.119, -2.89726, 3.03128
 1.67789e+09,44.5984, -2.86277, 2.99619
 1.67789e+09,44.1024, -2.83044, 2.99199
 1.67789e+09,43.6193, -2.79932, 3.0166
 1.67789e+09,43.1395, -2.77306, 2.98556
 1.67789e+09,42.6988, -2.72136, 2.95451
 1.67789e+09,42.2731, -2.64562, 2.9005
 1.67789e+09,41.8474, -2.44361, 2.7244
 1.67789e+09,41.3925, -2.04762, 2.38193
 1.67789e+09,41.055, -1.59083, 2.18915
 1.67789e+09,40.815, -1.11896, 2.0776
 1.67789e+09,40.6737, -0.681351, 1.93023
 1.67789e+09,40.5799, -0.192847, 1.81281
 1.67789e+09,40.5567, 0.278296, 1.68525
 1.67789e+09,40.561, 0.769168, 1.63698
 1.67789e+09,40.5839, 1.2629, 1.62556
 1.67789e+09,40.5716, 1.74835, 1.65664
 1.67789e+09,40.5667, 2.25021, 1.67582
 1.67789e+09,40.5356, 2.74105, 1.69509
 1.67789e+09,40.4952, 3.38203, 1.70629
 1.67789e+09,40.4576, 3.87564, 1.70331
 1.67789e+09,40.4428, 4.35585, 1.60734
 1.67789e+09,40.4528, 4.83118, 1.50653
 1.67789e+09,40.5064, 5.30044, 1.41459
 1.67789e+09,40.6044, 5.7746, 1.27692
 1.67789e+09,40.798, 6.22805, 1.06383
 1.67789e+09,41.0333, 6.64506, 0.93521
 1.67789e+09,41.4244, 7.10618, 0.812513
 1.67789e+09,41.8863, 7.45794, 0.638184
 1.67789e+09,42.315, 7.66465, 0.469653
 1.67789e+09,42.7613, 7.81673, 0.344778
 1.67789e+09,43.246, 7.90302, 0.245693
 1.67789e+09,43.7511, 7.95729, 0.240954
 1.67789e+09,44.2124, 7.99645, 0.242333
 1.67789e+09,44.7281, 8.02411, 0.200439
 1.67789e+09,45.1825, 8.04682, 0.19076
 1.67789e+09,45.664, 8.03246, 0.0937948
 1.67789e+09,46.2015, 8.01915, 0.0640801
 1.67789e+09,46.71, 7.99633, 0.0221641
 1.67789e+09,47.2273, 7.95704, 3.11321
 1.67789e+09,47.7312, 7.94881, 0.0124777
 1.67789e+09,48.2626, 7.89648, 3.09054
 1.67789e+09,48.7127, 7.8289, 3.03992
 1.67789e+09,49.2347, 7.76455, 2.97756
 1.67789e+09,49.7409, 7.73693, 2.99943
 1.67789e+09,50.2648, 7.72301, 3.01224
 1.67789e+09,50.7456, 7.68937, 2.98137
 1.67789e+09,51.2227, 7.65604, 2.9676
 1.67789e+09,51.6871, 7.58604, 2.89759
 1.67789e+09,52.117, 7.49124, 2.85808
 1.67789e+09,52.5464, 7.32803, 2.77128
 1.67789e+09,52.9907, 6.96945, 2.50373
 1.67789e+09,53.2969, 6.48648, 2.18622
 1.67789e+09,53.4521, 6.0345, 1.94461
 1.67789e+09,53.562, 5.61707, 1.91212
 1.67789e+09,53.648, 5.14904, 1.86163
 1.67789e+09,53.6777, 4.68781, 1.76752
 1.67789e+09,53.6757, 4.19075, 1.65495
 1.67789e+09,53.6312, 3.69567, 1.56512
 1.67789e+09,53.5733, 3.20392, 1.54827
 1.67789e+09,53.5277, 2.69694, 1.53235
 1.67789e+09,53.49, 2.20169, 1.52981
 1.67789e+09,53.4648, 1.71913, 1.58845
 1.67789e+09,53.4417, 1.23493, 1.58902
 1.67789e+09,53.4344, 0.764359, 1.57143
 1.67789e+09,53.3961, 0.279825, 1.52054
 1.67789e+09,53.3811, -0.187911, 1.50187
 1.67789e+09,53.3114, -0.659789, 1.37164
 1.67789e+09,53.2483, -1.10461, 1.3058
 1.67789e+09,53.1511, -1.54729, 1.1927
 1.67789e+09,52.9644, -1.99919, 1.09937
 1.67789e+09,52.6583, -2.42037, 0.908068
 1.67789e+09,52.1971, -2.78139, 0.681716
 1.67789e+09,51.7321, -3.00232, 0.491168
 1.67789e+09,51.294, -3.10436, 0.305022
 1.67789e+09,50.8501, -3.15821, 0.154839
 1.67789e+09,50.3882, -3.17027, 0.0718971
 1.67789e+09,49.9048, -3.15101, 0.00662836
 1.67789e+09,49.4106, -3.13817, 3.09728
 1.67789e+09,48.9446, -3.12034, 3.08129
 1.67789e+09,48.4196, -3.13293, 3.10115
 1.67789e+09,47.9608, -3.12749, 3.08282
 1.67789e+09,47.4259, -3.0924, 3.02716
 1.67789e+09,46.9083, -3.07826, 2.99667
 1.67789e+09,46.4401, -3.04247, 2.93553
 1.67789e+09,45.9193, -3.00827, 2.94694
 1.67789e+09,45.3948, -2.97679, 2.97984
 1.67789e+09,44.9324, -2.94595, 2.95772
 1.67789e+09,44.397, -2.94051, 3.00367
 1.67789e+09,43.8626, -2.95591, 3.13006
 1.67789e+09,43.34, -2.97387, 0.0432259
 1.67789e+09,42.809, -2.98138, 0.0665723
 1.67789e+09,42.2755, -2.97438, 0.00246878
 1.67789e+09,41.7606, -2.95797, 3.08632
 1.67789e+09,41.2758, -2.94884, 0.0284286
 1.67789e+09,40.7794, -2.95501, 0.0166794
 1.67789e+09,40.2662, -2.95633, 3.12772
 1.67789e+09,39.755, -2.9627, 0.00835468
 1.67789e+09,39.2251, -2.94065, 0.0101845
 1.67789e+09,38.7566, -2.91243, 3.13696
 1.67789e+09,38.2356, -2.86159, 3.05216
 1.67789e+09,37.7633, -2.80428, 3.0505
 1.67789e+09,37.2424, -2.78086, 3.08277
 1.67789e+09,36.7032, -2.76812, 3.071
 1.67789e+09,36.2369, -2.75686, 3.07815
 1.67789e+09,35.7181, -2.7415, 3.04446
 1.67789e+09,35.2586, -2.71109, 3.03199
